Subject,Condition,Race,Gender,Trial,Puzzle,PuzOrd,SpcOrd,resphelp,resphelpwho,IndSolv,,,,,,,,,,,,,,,
1,U,W,M,1,I,1,2,1,A,,,,,,,,,,,,,,,,
1,U,W,M,2,M,1,2,0,,,,,,,,,,,,,,,,,
1,U,W,M,3,T,1,2,0,,1,,,,,,,,,,,,,,,
1,U,W,M,4,S,1,2,1,B,,,,,,,,,,,,,,,,
2,U,AA,M,1,I,1,1,0,,,,,,,,,,,,,,,,,
2,U,AA,M,2,M,1,1,0,,,,,,,,,,,,,,,,,
2,U,AA,M,3,T,1,1,1,A,,,,,,,,,,,,,,,,
2,U,AA,M,4,S,1,1,1,B,,,,,,,,,,,,,,,,
4,U,W,M,1,T,3,1,1,B,,,,,,,,,,,,,,,,
4,U,W,M,2,S,3,1,1,A,,,,,,,,,,,,,,,,
4,U,W,M,3,I,3,1,1,A,,,,,,,,,,,,,,,,
4,U,W,M,4,M,3,1,1,A,,,,,,,,,,,,,,,,
5,U,W,F,1,M,2,2,1,A,,,,,,,,,,,,,,,,
5,U,W,F,2,T,2,2,1,A,,,,,,,,,,,,,,,,
5,U,W,F,3,S,2,2,1,A,,,,,,,,,,,,,,,,
5,U,W,F,4,I,2,2,1,A,,,,,,,,,,,,,,,,
6,F,W,F,1,I,1,1,0,,1,,,,,,,,,,,,,,,
6,F,W,F,2,M,1,1,0,,1,,,,,,,,,,,,,,,
6,F,W,F,3,T,1,1,0,,1,,,,,,,,,,,,,,,
6,F,W,F,4,S,1,1,0,,1,,,,,,,,,,,,,,,
7,F,W,M,1,I,1,1,1,A,,,,,,,,,,,,,,,,
7,F,W,M,2,M,1,1,1,B,,,,,,,,,,,,,,,,
7,F,W,M,3,T,1,1,0,,1,,,,,,,,,,,,,,,
7,F,W,M,4,S,1,1,0,,1,,,,,,,,,,,,,,,
8,F,W,F,1,M,2,1,0,,,,,,,,,,,,,,,,,
8,F,W,F,2,T,2,1,0,,1,,,,,,,,,,,,,,,
8,F,W,F,3,S,2,1,0,,1,,,,,,,,,,,,,,,
8,F,W,F,4,I,2,1,0,,1,,,,,,,,,,,,,,,
9,U,W,M,1,S,4,1,0,,,,,,,,,,,,,,,,,
9,U,W,M,2,I,4,1,0,,,,,,,,,,,,,,,,,
9,U,W,M,3,M,4,1,1,A,,,,,,,,,,,,,,,,
9,U,W,M,4,T,4,1,0,,1,,,,,,,,,,,,,,,
11,F,A,F,1,M,2,2,1,A,,,,,,,,,,,,,,,,
11,F,A,F,2,T,2,2,1,B,,,,,,,,,,,,,,,,
11,F,A,F,3,S,2,2,0,,1,,,,,,,,,,,,,,,
11,F,A,F,4,I,2,2,0,,1,,,,,,,,,,,,,,,
12,U,A/AA/W,F,1,M,2,2,0,,,,,,,,,,,,,,,,,
12,U,A/AA/W,F,2,T,2,2,0,,,,,,,,,,,,,,,,,
12,U,A/AA/W,F,3,S,2,2,0,,,,,,,,,,,,,,,,,
12,U,A/AA/W,F,4,I,2,2,0,,,,,,,,,,,,,,,,,
14,U,W,F,1,S,4,2,0,,,,,,,,,,,,,,,,,
14,U,W,F,2,I,4,2,1,B,,,,,,,,,,,,,,,,
14,U,W,F,3,M,4,2,1,A,,,,,,,,,,,,,,,,
14,U,W,F,4,T,4,2,1,B,,,,,,,,,,,,,,,,
15,F,W,M,1,T,3,2,0,,1,,,,,,,,,,,,,,,
15,F,W,M,2,S,3,2,1,B,,,,,,,,,,,,,,,,
15,F,W,M,3,I,3,2,0,,1,,,,,,,,,,,,,,,
15,F,W,M,4,M,3,2,0,,1,,,,,,,,,,,,,,,
16,U,AA,F,1,M,2,1,1,A,,,,,,,,,,,,,,,,
16,U,AA,F,2,T,2,1,0,,1,,,,,,,,,,,,,,,
16,U,AA,F,3,S,2,1,1,B,,,,,,,,,,,,,,,,
16,U,AA,F,4,I,2,1,1,A,,,,,,,,,,,,,,,,
17,U,W,F,1,I,1,1,1,B,,,,,,,,,,,,,,,,
17,U,W,F,2,M,1,1,1,B,,,,,,,,,,,,,,,,
17,U,W,F,3,T,1,1,0,,1,,,,,,,,,,,,,,,
17,U,W,F,4,S,1,1,1,A,,,,,,,,,,,,,,,,
18,U,W,F,1,I,1,2,0,,,,,,,,,,,,,,,,,
18,U,W,F,2,M,1,2,0,,,,,,,,,,,,,,,,,
18,U,W,F,3,T,1,2,0,,,,,,,,,,,,,,,,,
18,U,W,F,4,S,1,2,0,,,,,,,,,,,,,,,,,
19,F,W,F,1,T,3,1,0,,1,,,,,,,,,,,,,,,
19,F,W,F,2,S,3,1,0,,1,,,,,,,,,,,,,,,
19,F,W,F,3,I,3,1,0,,1,,,,,,,,,,,,,,,
19,F,W,F,4,M,3,1,1,A,,,,,,,,,,,,,,,,
20,U,W,M,1,M,2,2,1,B,,,,,,,,,,,,,,,,
20,U,W,M,2,T,2,2,0,,,,,,,,,,,,,,,,,
20,U,W,M,3,S,2,2,0,,,,,,,,,,,,,,,,,
20,U,W,M,4,I,2,2,0,,,,,,,,,,,,,,,,,
21,U,W,F,1,T,3,1,1,B,,,,,,,,,,,,,,,,
22,U,O,F,1,T,3,2,1,B,,,,,,,,,,,,,,,,
22,U,O,F,2,S,3,2,1,B,,,,,,,,,,,,,,,,
22,U,O,F,3,I,3,2,0,,,,,,,,,,,,,,,,,
22,U,O,F,4,M,3,2,1,B,,,,,,,,,,,,,,,,
23,F,W,F,1,I,1,2,0,,1,,,,,,,,,,,,,,,
23,F,W,F,2,M,1,2,0,,1,,,,,,,,,,,,,,,
23,F,W,F,3,T,1,2,1,B,,,,,,,,,,,,,,,,
24,F,W/AA,F,1,M,2,2,0,,1,,,,,,,,,,,,,,,
24,F,W/AA,F,2,T,2,2,0,,1,,,,,,,,,,,,,,,
24,F,W/AA,F,3,S,2,2,0,,1,,,,,,,,,,,,,,,
24,F,W/AA,F,4,I,2,2,0,,1,,,,,,,,,,,,,,,
25,F,W,M,1,I,1,1,0,,,,,,,,,,,,,,,,,
25,F,W,M,2,M,1,1,1,B,,,,,,,,,,,,,,,,
25,F,W,M,3,T,1,1,1,A,,,,,,,,,,,,,,,,
25,F,W,M,4,S,1,1,1,B,,,,,,,,,,,,,,,,
26,U,W,M,3,T,1,1,0,,,,,,,,,,,,,,,,,
27,F,W,F,1,S,4,1,1,B,,,,,,,,,,,,,,,,
27,F,W,F,2,I,4,1,1,A,,,,,,,,,,,,,,,,
27,F,W,F,3,M,4,1,0,,1,,,,,,,,,,,,,,,
27,F,W,F,4,T,4,1,0,,1,,,,,,,,,,,,,,,
28,U,O,F,1,S,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,2,I,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,3,M,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,4,T,4,2,0,,1,,,,,,,,,,,,,,,
