Subject,Condition,Race,Gender,Trial,Puzzle,TaskOrd,AdultPos,KnowerPos,MenOrd,resphelp,typehelp,prompted,resphelpwho,respknower,IndSolv,,,,,,,,,,,,,,,,,,,
1,U,W,M,1,I,1,1,2,1,1,B,1,S,K,,,Legend,,,,,,,,,,,,,,,,,
1,U,W,M,2,M,1,1,2,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
1,U,W,M,4,S,1,1,2,1,1,B,1,S,K,,,Condition,,,,,,,,,,,,,,,,,
3,U,W,F,1,M,2,1,2,1,1,B,1,A,K,,,U = Unfamiliar,,,,,,,,,,,,,,,,,
3,U,W,F,2,T,2,1,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
3,U,W,F,3,S,2,1,2,1,1,B,1,S,K,,,taskord = Order of puzzles,,,,,,,,,,,,,,,,,
3,U,W,F,4,I,2,1,2,1,1,B,1,A,I,,,1 = IMTS,5 = TMIS,,,,,,,,,,,,,,,,
4,U,W,M,1,I,1,2,2,1,1,B,0,A,I,,,2 = MTSI,6 = SMTI,,,,,,,,,,,,,,,,
4,U,W,M,2,M,1,2,2,1,1,B,1,A,I,,,3 = TSIM,7 = ITSM,,,,,,,,,,,,,,,,
4,U,W,M,3,T,1,2,2,1,1,B,1,A,I,,,4 = SIMT,8 = MIST,,,,,,,,,,,,,,,,
4,U,W,M,4,S,1,2,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
5,U,A,F,1,I,1,1,1,2,1,B,0,A,I,,,adultpos = Adult position,,,,,,,,,,,,,,,,,
5,U,A,F,2,M,1,1,1,2,1,B,1,A,K,,,1 = LRRL,,,,,,,,,,,,,,,,,
5,U,A,F,3,T,1,1,1,2,1,B,0,A,K,,,2 = RLLR,,,,,,,,,,,,,,,,,
5,U,A,F,4,S,1,1,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
6,U,W,F,1,M,2,1,1,1,1,V,0,S,I,,,KnowerPos = Knowing helper position,,,,,,,,,,,,,,,,,
6,U,W,F,2,T,2,1,1,1,1,B,0,A,K,,,1 = LRLR,,,,,,,,,,,,,,,,,
6,U,W,F,3,S,2,1,1,1,1,B,0,A,K,,,2 = RLRL,,,,,,,,,,,,,,,,,
6,U,W,F,4,I,2,1,1,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
7,U,A,F,1,I,1,2,2,2,1,B,1,S,I,,,MenOrd = Order of familiar helper mentioned,,,,,,,,,,,,,,,,,
7,U,A,F,2,M,1,2,2,2,1,V,0,S,K,,,1 = FUUF,,,,,,,,,,,,,,,,,
7,U,A,F,3,T,1,2,2,2,1,V,0,S,K,,,2 = UFFU,,,,,,,,,,,,,,,,,
7,U,A,F,4,S,1,2,2,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
8,U,W,F,1,I,1,2,1,2,1,B,1,S,K,,,resphelp = Help responses,,,,,,,,,,,,,,,,,
8,U,W,F,2,M,1,2,1,2,1,B,0,A,I,,,0 = no help requested,,,,,,,,,,,,,,,,,
8,U,W,F,3,T,1,2,1,2,1,B,0,A,K,,,1 = help requested,,,,,,,,,,,,,,,,,
8,U,W,F,4,S,1,2,1,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
9,U,W,F,1,M,2,2,1,1,1,V,0,A,K,,,typehelp = Mode of help requested ,,,,,,,,,,,,,,,,,
9,U,W,F,2,T,2,2,1,1,1,V,0,S,K,,,B = Button,,,,,,,,,,,,,,,,,
9,U,W,F,3,S,2,2,1,1,1,V,0,S,I,,,V = Verbal,,,,,,,,,,,,,,,,,
9,U,W,F,4,I,2,2,1,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
10,U,W,M,1,T,3,1,1,1,1,B,1,S,K,,,prompted = Was child prompted to get help,,,,,,,,,,,,,,,,,
10,U,W,M,2,S,3,1,1,1,1,V,0,S,I,,,0 = No,,,,,,,,,,,,,,,,,
10,U,W,M,3,I,3,1,1,1,1,B,1,A,K,,,1 = Yes,,,,,,,,,,,,,,,,,
10,U,W,M,4,M,3,1,1,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
11,U,A,F,1,T,3,2,2,2,1,B,1,S,K,,,resphelpwho = Who help was requested from,,,,,,,,,,,,,,,,,
11,U,A,F,3,I,3,2,2,2,1,B,1,S,K,,,S = Small Child,,,,,,,,,,,,,,,,,
11,U,A,F,4,M,3,2,2,2,1,B,1,S,K,,,A = Adult,,,,,,,,,,,,,,,,,
12,U,A/W,F,1,T,3,1,1,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
12,U,A/W,F,2,S,3,1,1,2,1,B,0,S,K,,,respknower,,,,,,,,,,,,,,,,,
12,U,A/W,F,3,I,3,1,1,2,1,B,0,S,I,,,K = Knowing,,,,,,,,,,,,,,,,,
12,U,A/W,F,4,M,3,1,1,2,1,B,0,A,I,,,I = Ignorant,,,,,,,,,,,,,,,,,
13,U,A,F,1,S,4,1,2,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
13,U,A,F,2,I,4,1,2,1,1,B,1,A,K,,,IndSolv = Was puzzle solved independently,,,,,,,,,,,,,,,,,
13,U,A,F,3,M,4,1,2,1,1,B,0,S,I,,,1 = Yes,,,,,,,,,,,,,,,,,
13,U,A,F,4,T,4,1,2,1,1,B,1,A,K,,,"""blank"" = No",,,,,,,,,,,,,,,,,
14,U,W,F,1,T,3,2,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
14,U,W,F,2,S,3,2,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
14,U,W,F,3,I,3,2,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
14,U,W,F,4,M,3,2,1,2,1,V,0,S,I,,,,,,,,,,,,,,,,,,,,
15,U,W,F,1,S,4,2,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
15,U,W,F,2,I,4,2,2,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
15,U,W,F,3,M,4,2,2,1,1,V,0,A,K,,,,,,,,,,,,,,,,,,,,
15,U,W,F,4,T,4,2,2,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
16,U,A,M,1,M,2,2,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
16,U,A,M,2,T,2,2,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
16,U,A,M,3,S,2,2,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
16,U,A,M,4,I,2,2,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
17,U,W,M,1,T,3,1,2,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
17,U,W,M,2,S,3,1,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
17,U,W,M,3,I,3,1,2,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
17,U,W,M,4,M,3,1,2,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
18,U,W,M,1,I,1,1,1,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
18,U,W,M,2,M,1,1,1,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
18,U,W,M,3,T,1,1,1,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
18,U,W,M,4,S,1,1,1,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
19,U,W,F,1,S,4,2,1,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
19,U,W,F,2,I,4,2,1,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
19,U,W,F,3,M,4,2,1,1,1,V,0,A,I,,,,,,,,,,,,,,,,,,,,
19,U,W,F,4,T,4,2,1,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
20,U,W,F,1,T,5,1,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
20,U,W,F,2,M,5,1,1,2,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
20,U,W,F,3,I,5,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
20,U,W,F,4,S,5,1,1,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
21,U,W,F,1,T,5,1,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
21,U,W,F,2,M,5,1,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
21,U,W,F,3,I,5,1,2,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
21,U,W,F,4,S,5,1,2,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
22,U,A/W,M,1,T,3,2,2,1,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
22,U,A/W,M,2,S,3,2,2,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
22,U,A/W,M,3,I,3,2,2,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
23,U,A,M,1,M,2,1,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
23,U,A,M,2,T,2,1,2,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
