Subject,Condition,Race,Gender,Trial,Puzzle,TaskOrd,SpatialPos,TemporalOrd,TempOrdWho,RespHelp,Prompted,TypeHelp,RespHelpWho,IndSolv
1,U,AA,F,1,I,1,1,1,B,1,1,B,B,0
1,U,AA,F,2,M,1,1,1,S,1,0,B,A,0
1,U,AA,F,3,T,1,1,1,B,1,0,B,B,0
1,U,AA,F,4,S,1,1,1,S,1,0,B,A,0
2,U,W,F,1,I,1,2,2,S,1,0,B,S,0
2,U,W,F,2,M,1,2,2,B,1,0,V,A,0
2,U,W,F,3,T,1,2,2,S,1,0,B,A,0
2,U,W,F,4,S,1,2,2,B,1,0,B,A,0
3,U,W,M,1,I,1,1,1,B,1,0,B,A,0
3,U,W,M,2,M,1,1,1,S,1,1,B,S,0
3,U,W,M,3,T,1,1,1,B,1,0,B,B,0
3,U,W,M,4,S,1,1,1,S,1,0,B,A,0
4,U,W,M,1,I,1,2,2,S,1,1,B,A,0
4,U,W,M,3,T,1,2,2,S,1,0,B,A,0
4,U,W,M,4,S,1,2,2,B,1,1,B,A,0
5,U,A,F,1,M,2,1,1,B,1,1,B,A,0
5,U,A,F,2,T,2,1,1,S,1,1,B,A,0
5,U,A,F,3,S,2,1,1,B,1,0,B,A,0
5,U,A,F,4,I,2,1,1,S,1,1,B,A,0
6,U,W,F,1,M,2,2,1,B,1,1,B,A,0
6,U,W,F,2,T,2,2,1,S,1,1,B,S,0
6,U,W,F,3,S,2,2,1,B,1,0,B,B,0
6,U,W,F,4,I,2,2,1,S,1,1,B,S,0
7,U,W,F,1,I,1,2,1,B,1,1,B,B,0
7,U,W,F,2,M,1,2,1,S,1,0,B,A,0
7,U,W,F,3,T,1,2,1,B,1,1,B,A,0
7,U,W,F,4,S,1,2,1,S,1,1,B,S,0
8,U,W,F,1,T,3,1,1,B,1,0,B,B,0
8,U,W,F,2,S,3,1,1,S,1,1,B,S,0
8,U,W,F,3,I,3,1,1,B,1,0,B,A,0
8,U,W,F,4,M,3,1,1,S,1,1,B,S,0
9,U,AA,F,1,S,4,1,2,S,1,0,B,S,0
9,U,AA,F,2,I,4,1,2,B,1,0,B,B,0
9,U,AA,F,3,M,4,1,2,S,1,0,B,A,0
9,U,AA,F,4,T,4,1,2,B,1,1,B,B,0
10,U,W,F,1,T,5,1,2,S,1,0,B,S,0
10,U,W,F,2,M,5,1,2,B,1,1,B,B,0
10,U,W,F,3,I,5,1,2,S,1,0,V,S,0
10,U,W,F,4,S,5,1,2,B,1,0,V,A,0
11,U,W,M,1,M,2,1,2,S,1,1,B,S,0
11,U,W,M,2,T,2,1,2,B,1,0,B,B,0
11,U,W,M,3,S,2,1,2,S,1,1,B,S,0
11,U,W,M,4,I,2,1,2,B,1,0,B,B,0
12,U,W,M,1,T,3,2,2,S,1,0,B,S,0
12,U,W,M,2,S,3,2,2,B,1,1,B,A,0
12,U,W,M,3,I,3,2,2,S,1,0,B,A,0
12,U,W,M,4,M,3,2,2,B,1,1,B,B,0
13,U,W,F,1,S,6,1,2,S,1,1,B,A,0
13,U,W,F,2,M,6,1,2,B,1,1,B,B,0
13,U,W,F,3,T,6,1,2,S,1,1,B,S,0
13,U,W,F,4,I,6,1,2,B,1,1,B,A,0
14,U,W,F,1,S,4,2,1,B,1,1,B,A,0
14,U,W,F,2,I,4,2,1,S,1,1,B,S,0
14,U,W,F,3,M,4,2,1,B,1,0,B,B,0
15,U,W,F,1,T,5,1,1,B,1,0,V,B,0
15,U,W,F,2,M,5,1,1,S,1,0,B,S,0
15,U,W,F,3,I,5,1,1,B,1,1,B,B,0
15,U,W,F,4,S,5,1,1,S,1,0,V,A,0
16,U,W,F,1,I,7,1,1,B,1,1,B,B,0
16,U,W,F,2,T,7,1,1,S,1,0,B,S,0
16,U,W,F,3,S,7,1,1,B,1,1,B,B,0
16,U,W,F,4,M,7,1,1,S,1,1,B,A,0
17,U,W,M,1,T,3,1,2,S,1,1,B,A,0
18,U,A,F,1,T,5,2,2,S,1,1,B,A,0
18,U,A,F,2,M,5,2,2,B,1,0,B,B,0
18,U,A,F,3,I,5,2,2,S,1,0,B,S,0
18,U,A,F,4,S,5,2,2,B,1,0,V,B,0
19,U,O,F,1,M,2,1,2,S,1,0,B,S,0
19,U,O,F,2,T,2,1,2,B,1,0,B,B,0
19,U,O,F,3,S,2,1,2,S,1,1,B,S,0
19,U,O,F,4,I,2,1,2,B,1,1,B,B,0
20,U,W,F,1,I,7,2,2,S,1,1,B,A,0
20,U,W,F,2,T,7,2,2,B,1,0,B,A,0
21,U,O,F,1,S,4,2,2,S,1,1,B,S,0
21,U,O,F,2,I,4,2,2,B,1,1,B,B,0
21,U,O,F,3,M,4,2,2,S,1,1,B,A,0
21,U,O,F,4,T,4,2,2,B,1,1,B,B,0
22,U,W,F,1,I,7,1,2,S,1,1,B,S,0
22,U,W,F,2,T,7,1,2,B,1,1,B,B,0
22,U,W,F,3,S,7,1,2,S,1,1,B,A,0
22,U,W,F,4,M,7,1,2,B,1,0,B,B,0
